tract_fips,num_killed,num_incidents,city_or_county,state,tract_square_mileage,2014_tract_population,2014_tract_population_black,2014_tract_population_over_age_25_with_no_hs_degree,2014_tract_population_below_poverty_line,,,,,,,,,,,
13285960902,6,2,Lagrange,Georgia,42.76,"6,773",16.61%,10.34%,7.31%,,,,,,,,,,,
29175490400,6,2,Moberly,Missouri,3.65,"3,274",6.90%,5.20%,8.70%,,,,,,,,,,,
23015976200,6,2,Boothbay Harbor,Maine,11.08,"2,633",0.30%,6.60%,9.49%,,,,,,,,,,,
45013000700,6,6,Beaufort,South Carolina,3.58,"6,176",17.70%,12.29%,14.28%,,,,,,,,,,,
45007010700,6,2,Pendleton,South Carolina,22.1,"5,398",14.06%,12.82%,27.51%,,,,,,,,,,,
46023940200,6,1,Geddes,South Dakota,349.11,"3,195",0.03%,11.94%,36.87%,,,,,,,,,,,
45075010200,6,3,Holly Hill,South Carolina,76.77,"5,296",61.56%,24.83%,34.54%,,,,,,,,,,,
17031460500,5,5,Chicago,Illinois,0.49,"4,798",95.44%,12.42%,13.05%,,,,,,,,,,,
17031681400,5,5,Chicago,Illinois,0.25,"2,898",100.00%,30.32%,40.10%,,,,,,,,,,,
17031835100,5,5,Chicago,Illinois,0.39,"5,555",12.82%,43.26%,20.92%,,,,,,,,,,,
17031836800,5,5,Chicago,Illinois,0.31,"2,261",95.00%,20.32%,55.11%,,,,,,,,,,,
17031843000,5,4,Chicago,Illinois,0.41,"3,138",97.64%,31.44%,49.49%,,,,,,,,,,,
48201331200,5,3,Houston,Texas,1.37,"3,270",93.27%,22.46%,28.20%,,,,,,,,,,,
24510090800,5,5,Baltimore,Maryland,0.33,"3,521",90.29%,21.98%,40.02%,,,,,,,,,,,
24510150400,5,5,Baltimore,Maryland,0.32,"3,950",94.91%,23.19%,15.52%,,,,,,,,,,,
24510190300,5,5,Baltimore,Maryland,0.15,"2,348",68.99%,24.12%,30.83%,,,,,,,,,,,
24510200200,5,5,Baltimore,Maryland,0.36,"2,436",93.88%,33.31%,40.60%,,,,,,,,,,,
24510250402,5,5,Baltimore,Maryland,0.27,"4,949",47.97%,39.51%,37.10%,,,,,,,,,,,
24510271700,5,4,Baltimore,Maryland,0.67,"5,221",96.48%,21.87%,21.07%,,,,,,,,,,,
24510271802,5,5,Baltimore,Maryland,0.21,"2,907",97.28%,25.04%,33.16%,,,,,,,,,,,
24510280101,5,5,Baltimore,Maryland,0.54,"3,860",88.11%,19.89%,25.67%,,,,,,,,,,,
29189210501,5,5,Saint Louis,Missouri,1.08,"3,611",85.54%,15.12%,32.87%,,,,,,,,,,,
29510106700,5,5,Saint Louis,Missouri,0.48,"3,103",96.13%,20.71%,39.80%,,,,,,,,,,,
29510107500,5,4,Saint Louis,Missouri,0.35,"2,360",98.98%,26.42%,24.45%,,,,,,,,,,,
29510123100,5,3,Saint Louis,Missouri,0.4,"3,600",67.39%,15.74%,16.08%,,,,,,,,,,,
42101003300,5,4,Philadelphia,Pennsylvania,0.41,"6,562",70.13%,24.00%,43.34%,,,,,,,,,,,
42101018800,5,3,Philadelphia,Pennsylvania,0.26,"8,698",24.51%,34.29%,60.89%,,,,,,,,,,,
22071003308,5,4,New Orleans,Louisiana,0.67,"3,311",87.35%,18.34%,23.29%,,,,,,,,,,,
18097350300,5,5,Indianapolis,Indiana,0.26,"1,802",79.58%,19.35%,41.29%,,,,,,,,,,,
18097390500,5,2,Indianapolis,Indiana,1.29,"2,573",86.75%,20.88%,48.50%,,,,,,,,,,,
26163520300,5,4,Detroit,Michigan,0.17,"1,476",30.42%,7.52%,47.97%,,,,,,,,,,,
26163537700,5,4,Detroit,Michigan,0.37,"3,319",97.83%,17.89%,33.87%,,,,,,,,,,,
11001007502,5,5,Washington,District of Columbia,0.24,"5,272",98.99%,19.75%,54.02%,,,,,,,,,,,
11001008002,5,4,Washington,District of Columbia,0.22,"3,685",32.51%,5.08%,7.73%,,,,,,,,,,,
39049000920,5,2,Columbus,Ohio,0.35,"1,710",72.98%,30.51%,41.70%,,,,,,,,,,,
29095009000,5,4,Kansas City,Missouri,0.99,"4,620",75.11%,14.29%,18.61%,,,,,,,,,,,
29095017200,5,3,Kansas City,Missouri,4.17,"4,571",55.72%,8.43%,14.83%,,,,,,,,,,,
12031001400,5,4,Jacksonville,Florida,1.86,"4,915",81.18%,25.31%,42.20%,,,,,,,,,,,
12031010201,5,2,Jacksonville,Florida,7.44,"10,534",22.59%,13.03%,15.42%,,,,,,,,,,,
6001401500,5,5,Oakland,California,0.18,"2,131",36.13%,12.77%,22.90%,,,,,,,,,,,
6001409600,5,5,Oakland,California,0.29,"5,004",29.22%,42.42%,28.60%,,,,,,,,,,,
6001409700,5,4,Oakland,California,0.31,"5,285",44.48%,38.11%,26.24%,,,,,,,,,,,
1073000500,5,5,Birmingham,Alabama,1.86,"3,735",92.37%,28.92%,46.91%,,,,,,,,,,,
1073004000,5,4,Birmingham,Alabama,0.91,"3,544",97.66%,23.20%,36.57%,,,,,,,,,,,
4013619800,5,1,Phoenix,Arizona,0.55,"4,565",2.41%,7.72%,6.53%,,,,,,,,,,,
22033001000,5,5,Baton Rouge,Louisiana,0.76,"4,263",98.94%,28.24%,35.82%,,,,,,,,,,,
34013023200,5,5,Newark,New Jersey,0.2,"3,571",80.12%,31.59%,45.67%,,,,,,,,,,,
39061022700,5,5,Cincinnati,Ohio,0.75,"3,348",95.25%,18.92%,40.71%,,,,,,,,,,,
13051003502,5,5,Savannah,Georgia,1.14,"4,008",56.89%,18.16%,19.24%,,,,,,,,,,,
26049000600,5,5,Flint,Michigan,0.47,"2,017",93.65%,29.29%,38.52%,,,,,,,,,,,
28049000800,5,4,Jackson,Mississippi,2.79,"3,928",99.03%,29.22%,54.91%,,,,,,,,,,,
8031003601,5,4,Denver,Colorado,0.51,"4,859",12.90%,32.32%,28.63%,,,,,,,,,,,
18089010201,5,4,Gary,Indiana,4.04,"5,397",82.06%,16.89%,42.99%,,,,,,,,,,,
18089011100,5,5,Gary,Indiana,1.18,"4,595",95.82%,19.39%,37.54%,,,,,,,,,,,
31055000500,5,3,Omaha,Nebraska,6.82,"2,113",21.63%,15.23%,24.75%,,,,,,,,,,,
31055005200,5,3,Omaha,Nebraska,0.29,"1,607",48.35%,27.32%,54.08%,,,,,,,,,,,
51760020400,5,4,Richmond,Virginia,0.68,"4,586",94.74%,46.46%,43.24%,,,,,,,,,,,
34007601700,5,5,Camden,New Jersey,0.34,"3,126",69.13%,39.01%,58.06%,,,,,,,,,,,
5119003001,5,4,Little Rock,Arkansas,0.86,"3,425",59.59%,23.30%,47.53%,,,,,,,,,,,
4019004320,5,1,Tucson,Arizona,3.3,"3,105",0.00%,41.01%,36.43%,,,,,,,,,,,
36055006400,5,3,Rochester,New York,0.25,"2,464",89.57%,27.42%,46.71%,,,,,,,,,,,
17163501300,5,5,East Saint Louis,Illinois,1.8,"3,657",96.25%,12.75%,28.25%,,,,,,,,,,,
13217100501,5,5,Covington,Georgia,7.32,"15,478",73.72%,13.47%,16.01%,,,,,,,,,,,
13097080604,5,1,Douglasville,Georgia,10.67,"9,515",54.14%,4.80%,16.85%,,,,,,,,,,,
28027950700,5,3,Clarksdale,Mississippi,1.89,"5,092",99.04%,20.49%,44.27%,,,,,,,,,,,
6065030501,5,4,Riverside,California,0.73,"4,580",16.24%,38.54%,40.70%,,,,,,,,,,,
12111380300,5,5,Fort Pierce,Florida,1.28,"5,897",90.55%,29.73%,55.94%,,,,,,,,,,,
48201554402,5,4,Cypress,Texas,5.46,"12,768",9.30%,4.65%,4.25%,,,,,,,,,,,
13117130610,5,1,Suwanee,Georgia,4.01,"4,179",3.57%,0.53%,3.59%,,,,,,,,,,,
23011025000,5,2,Oakland,Maine,25.67,"6,215",0.34%,7.82%,6.98%,,,,,,,,,,,
24043011500,5,2,Knoxville,Maryland,55.2,"7,974",1.33%,11.27%,6.03%,,,,,,,,,,,
27029000300,5,1,Excelsior (Greenwood),Minnesota,484.4,"3,269",0.00%,13.55%,12.57%,,,,,,,,,,,
30077000200,5,1,Deer Lodge,Montana,365.74,"5,382",0.37%,10.63%,11.43%,,,,,,,,,,,
48001951100,5,1,Tennessee Colony,Texas,297.27,"4,752",9.28%,14.14%,16.08%,,,,,,,,,,,
1073010602,5,5,Fairfield,Alabama,2.3,"6,219",90.11%,16.82%,31.31%,,,,,,,,,,,
1097004900,5,4,Mobile (Prichard),Alabama,2,"3,548",94.81%,20.53%,40.39%,,,,,,,,,,,
42099030501,5,2,Carroll Township,Pennsylvania,34.27,"5,246",0.00%,14.28%,7.51%,,,,,,,,,,,
1073013601,5,5,Bessemer (Brighton),Alabama,1.55,"3,658",89.91%,16.02%,20.80%,,,,,,,,,,,
22001961000,5,4,Acadia Parish,Louisiana,5.69,"5,280",14.53%,43.93%,40.08%,,,,,,,,,,,
24033802805,5,4,Capital Heights,Maryland,0.75,"4,795",93.24%,13.07%,14.39%,,,,,,,,,,,
29189212500,5,5,Ferguson,Missouri,1.07,"5,287",73.54%,16.41%,28.45%,,,,,,,,,,,
42101017800,5,5,Kensington,Pennsylvania,0.26,"6,775",21.21%,50.27%,57.51%,,,,,,,,,,,
48201452500,5,5,Harris (county),Texas,1.21,"9,243",24.21%,38.55%,40.59%,,,,,,,,,,,
17031251100,4,4,Chicago,Illinois,0.19,"4,346",86.40%,25.45%,33.41%,,,,,,,,,,,
17031252202,4,4,Chicago,Illinois,0.25,"4,871",98.11%,25.63%,34.45%,,,,,,,,,,,
17031431400,4,4,Chicago,Illinois,0.42,"5,850",91.85%,13.06%,32.39%,,,,,,,,,,,
17031530600,4,4,Chicago,Illinois,0.37,"2,872",95.96%,13.80%,38.58%,,,,,,,,,,,
17031834700,4,4,Chicago,Illinois,0.25,"2,048",87.26%,35.19%,56.05%,,,,,,,,,,,
17031842400,4,3,Chicago,Illinois,0.76,"3,374",100.00%,19.05%,22.79%,,,,,,,,,,,
48201211700,4,3,Houston,Texas,1.72,"3,747",65.20%,43.38%,45.64%,,,,,,,,,,,
24510070200,4,4,Baltimore,Maryland,0.12,"3,195",90.55%,37.73%,35.96%,,,,,,,,,,,
24510080700,4,4,Baltimore,Maryland,0.12,784,99.62%,18.83%,27.68%,,,,,,,,,,,
24510130300,4,4,Baltimore,Maryland,0.14,"2,123",94.63%,22.36%,25.39%,,,,,,,,,,,
24510160200,4,4,Baltimore,Maryland,0.14,"2,649",99.70%,25.73%,33.67%,,,,,,,,,,,
24510160600,4,4,Baltimore,Maryland,0.22,"2,392",90.68%,30.04%,43.27%,,,,,,,,,,,
24510200100,4,4,Baltimore,Maryland,0.1,"1,597",96.49%,22.43%,48.15%,,,,,,,,,,,
24510260404,4,4,Baltimore,Maryland,1.73,"2,555",39.88%,38.47%,17.46%,,,,,,,,,,,
24510271001,4,2,Baltimore,Maryland,0.2,"2,363",95.34%,22.15%,24.38%,,,,,,,,,,,
24510271002,4,4,Baltimore,Maryland,0.37,"3,943",92.11%,18.87%,25.26%,,,,,,,,,,,
24510280500,4,4,Baltimore,Maryland,0.36,"2,412",85.07%,34.84%,66.83%,,,,,,,,,,,
36081069400,4,1,New York,New York,0.2,"3,298",81.53%,13.37%,14.25%,,,,,,,,,,,
29189211900,4,4,Saint Louis,Missouri,0.85,"5,208",88.42%,19.44%,37.73%,,,,,,,,,,,
29510105400,4,4,Saint Louis,Missouri,0.28,"2,607",80.90%,20.10%,39.24%,,,,,,,,,,,
29510106100,4,3,Saint Louis,Missouri,0.37,"1,732",98.21%,29.35%,42.44%,,,,,,,,,,,
29510109700,4,4,Saint Louis,Missouri,1.37,"2,332",88.55%,25.45%,53.09%,,,,,,,,,,,
29510110100,4,4,Saint Louis,Missouri,0.38,"2,945",96.77%,22.87%,32.22%,,,,,,,,,,,
29510115700,4,3,Saint Louis,Missouri,0.37,"3,930",52.39%,27.43%,46.95%,,,,,,,,,,,
29510127100,4,4,Saint Louis,Missouri,0.67,"2,208",97.10%,23.53%,44.20%,,,,,,,,,,,
42101010800,4,4,Philadelphia,Pennsylvania,0.23,"3,627",91.59%,27.43%,54.73%,,,,,,,,,,,
42101017100,4,4,Philadelphia,Pennsylvania,0.44,"4,078",94.51%,25.98%,31.31%,,,,,,,,,,,
42101017500,4,4,Philadelphia,Pennsylvania,0.28,"7,214",26.56%,43.87%,58.65%,,,,,,,,,,,
42101020400,4,4,Philadelphia,Pennsylvania,0.16,"2,538",94.72%,20.28%,30.73%,,,,,,,,,,,
42101027402,4,4,Philadelphia,Pennsylvania,0.2,"7,393",50.66%,34.14%,15.46%,,,,,,,,,,,
22071000604,4,3,New Orleans,Louisiana,0.67,"4,703",83.24%,18.00%,32.68%,,,,,,,,,,,
22071000613,4,4,New Orleans,Louisiana,1.05,"4,950",89.41%,23.11%,45.11%,,,,,,,,,,,
22071001720,4,4,New Orleans,Louisiana,1.27,"3,365",96.32%,15.14%,39.29%,,,,,,,,,,,
22071001735,4,4,New Orleans,Louisiana,0.53,"1,969",93.70%,16.89%,41.29%,,,,,,,,,,,
22071001743,4,3,New Orleans,Louisiana,0.35,"2,377",97.77%,18.90%,40.56%,,,,,,,,,,,
22071001750,4,4,New Orleans,Louisiana,0.56,"3,441",24.61%,41.41%,38.71%,,,,,,,,,,,
22071014300,4,4,New Orleans,Louisiana,0.18,"1,704",88.56%,32.92%,56.75%,,,,,,,,,,,
18097322000,4,4,Indianapolis,Indiana,0.91,"3,495",58.94%,8.81%,26.32%,,,,,,,,,,,
18097351200,4,4,Indianapolis,Indiana,0.7,"2,296",84.84%,24.70%,48.43%,,,,,,,,,,,
18097354900,4,4,Indianapolis,Indiana,0.42,"2,496",32.93%,42.87%,36.86%,,,,,,,,,,,
32003001501,4,3,Las Vegas,Nevada,0.39,"3,126",15.39%,32.91%,30.49%,,,,,,,,,,,
32003005804,4,1,Las Vegas,Nevada,0.62,"4,133",5.40%,7.26%,4.19%,,,,,,,,,,,
55079186000,4,4,Milwaukee,Wisconsin,0.23,"1,504",82.51%,34.04%,41.29%,,,,,,,,,,,
26163500500,4,3,Detroit,Michigan,0.31,"1,706",97.48%,21.97%,27.67%,,,,,,,,,,,
26163517200,4,4,Detroit,Michigan,0.63,"1,799",57.59%,18.72%,9.34%,,,,,,,,,,,
6037408723,4,1,Los Angeles,California,0.31,"2,962",0.00%,14.75%,7.90%,,,,,,,,,,,
6037532900,4,4,Los Angeles,California,0.3,"6,869",5.79%,58.84%,43.24%,,,,,,,,,,,
6037600100,4,3,Los Angeles,California,0.29,"6,849",42.93%,34.64%,44.61%,,,,,,,,,,,
47157006800,4,4,Memphis,Tennessee,0.5,"2,632",93.35%,25.94%,63.75%,,,,,,,,,,,
47157008200,4,4,Memphis,Tennessee,0.96,"5,539",64.45%,35.70%,59.27%,,,,,,,,,,,
47157021747,4,4,Memphis,Tennessee,0.72,"3,634",80.08%,9.97%,18.96%,,,,,,,,,,,
47157022111,4,3,Memphis,Tennessee,1.61,"5,600",96.23%,19.88%,34.66%,,,,,,,,,,,
11001004300,4,4,Washington,District of Columbia,0.09,"3,481",25.97%,11.42%,10.14%,,,,,,,,,,,
11001009102,4,4,Washington,District of Columbia,0.71,"5,253",81.92%,17.32%,23.07%,,,,,,,,,,,
11001009807,4,4,Washington,District of Columbia,0.4,"3,228",96.87%,13.81%,33.15%,,,,,,,,,,,
11001010400,4,4,Washington,District of Columbia,1.06,"4,430",90.95%,17.36%,29.62%,,,,,,,,,,,
39035118200,4,3,Cleveland,Ohio,0.24,"1,961",94.95%,20.79%,58.24%,,,,,,,,,,,
39049000720,4,4,Columbus,Ohio,0.84,"2,354",59.22%,29.77%,40.78%,,,,,,,,,,,
39049004300,4,4,Columbus,Ohio,1.97,"5,090",10.35%,12.21%,30.67%,,,,,,,,,,,
39049009325,4,3,Columbus,Ohio,2,"3,848",67.39%,21.09%,44.93%,,,,,,,,,,,
13121007300,4,4,Atlanta,Georgia,2.94,"7,922",95.53%,19.35%,48.70%,,,,,,,,,,,
13121008601,4,3,Atlanta,Georgia,1.74,"4,643",97.33%,20.89%,42.54%,,,,,,,,,,,
13121010508,4,4,Atlanta,Georgia,1.51,"4,322",92.55%,15.74%,24.32%,,,,,,,,,,,
48029191900,4,4,San Antonio,Texas,1.29,"5,644",13.87%,35.22%,35.68%,,,,,,,,,,,
29095008800,4,4,Kansas City,Missouri,0.98,"3,363",88.79%,19.48%,29.74%,,,,,,,,,,,
29095013208,4,4,Kansas City,Missouri,0.91,"2,877",75.36%,23.43%,32.15%,,,,,,,,,,,
29095015200,4,3,Kansas City,Missouri,1.28,"1,907",15.52%,8.06%,17.36%,,,,,,,,,,,
12031002702,4,3,Jacksonville,Florida,0.83,"3,241",71.95%,20.51%,28.05%,,,,,,,,,,,
12031002802,4,3,Jacksonville,Florida,0.87,"3,963",94.10%,26.64%,35.40%,,,,,,,,,,,
48113002500,4,3,Dallas,Texas,1.62,"4,592",25.81%,49.49%,28.27%,,,,,,,,,,,
48113011601,4,2,Dallas,Texas,3.88,"4,262",57.79%,37.78%,27.66%,,,,,,,,,,,
6001402200,4,3,Oakland,California,0.28,"2,446",38.02%,22.22%,26.49%,,,,,,,,,,,
6001402900,4,4,Oakland,California,0.15,"1,399",13.01%,21.49%,25.02%,,,,,,,,,,,
6001407101,4,2,Oakland,California,0.14,"3,882",11.18%,47.22%,37.76%,,,,,,,,,,,
6001407300,4,4,Oakland,California,0.92,"2,558",10.87%,34.78%,18.84%,,,,,,,,,,,
21111002100,4,4,Louisville,Kentucky,0.3,"2,246",23.64%,48.34%,53.61%,,,,,,,,,,,
4013112504,4,2,Phoenix,Arizona,0.49,"3,829",6.97%,47.58%,41.00%,,,,,,,,,,,
22033005000,4,2,Baton Rouge,Louisiana,1.38,"3,280",11.40%,1.10%,5.98%,,,,,,,,,,,
22033005100,4,4,Baton Rouge,Louisiana,1.82,"2,936",60.80%,17.38%,29.29%,,,,,,,,,,,
37119001504,4,3,Charlotte,North Carolina,1.36,"7,395",63.72%,24.04%,29.98%,,,,,,,,,,,
37119003806,4,4,Charlotte,North Carolina,3.27,"9,544",43.41%,22.93%,19.74%,,,,,,,,,,,
37119004400,4,3,Charlotte,North Carolina,2.97,"4,848",75.14%,22.39%,13.08%,,,,,,,,,,,
37119005200,4,2,Charlotte,North Carolina,1.41,"2,675",88.22%,32.76%,61.12%,,,,,,,,,,,
12086001004,4,4,Miami,Florida,0.97,"6,003",80.36%,25.41%,43.44%,,,,,,,,,,,
12086001103,4,3,Miami,Florida,0.53,"3,865",57.23%,25.90%,18.71%,,,,,,,,,,,
12086001802,4,4,Miami,Florida,0.43,"3,973",75.26%,28.12%,41.18%,,,,,,,,,,,
12086003400,4,4,Miami,Florida,0.33,"1,688",74.35%,35.10%,48.70%,,,,,,,,,,,
47037019300,4,4,Nashville,Tennessee,1.35,"3,319",69.96%,39.39%,76.62%,,,,,,,,,,,
42003130600,4,4,Pittsburgh,Pennsylvania,0.54,"2,980",88.05%,9.67%,49.80%,,,,,,,,,,,
42003261500,4,2,Pittsburgh,Pennsylvania,0.44,"1,575",57.02%,6.67%,29.59%,,,,,,,,,,,
48439106202,4,3,Fort Worth,Texas,1.2,"5,074",77.51%,32.04%,35.26%,,,,,,,,,,,
48439106513,4,2,Fort Worth,Texas,1.05,"3,157",58.69%,28.04%,24.52%,,,,,,,,,,,
39061011000,4,4,Cincinnati,Ohio,0.56,"2,913",85.93%,8.49%,42.57%,,,,,,,,,,,
40143008502,4,4,Tulsa,Oklahoma,2,"4,961",11.57%,10.29%,13.71%,,,,,,,,,,,
40143009009,4,1,Tulsa,Oklahoma,3.98,"8,060",5.32%,9.09%,4.33%,,,,,,,,,,,
26049000700,4,4,Flint,Michigan,0.53,"2,389",91.92%,15.29%,32.40%,,,,,,,,,,,
28049000500,4,4,Jackson,Mississippi,1.58,"6,514",97.82%,20.90%,34.57%,,,,,,,,,,,
28049002700,4,3,Jackson,Mississippi,3.79,"1,095",68.04%,22.71%,35.34%,,,,,,,,,,,
8031004404,4,3,Denver,Colorado,0.5,"6,967",25.85%,19.20%,44.57%,,,,,,,,,,,
18089011600,4,4,Gary,Indiana,0.47,"2,206",99.05%,11.03%,31.41%,,,,,,,,,,,
27053005902,4,2,Minneapolis,Minnesota,0.19,"3,042",38.82%,27.53%,58.09%,,,,,,,,,,,
51760071001,4,4,Richmond,Virginia,1.06,"5,197",66.13%,12.36%,19.90%,,,,,,,,,,,
36029003500,4,3,Buffalo,New York,0.61,"2,743",91.91%,21.53%,41.23%,,,,,,,,,,,
36029016500,4,2,Buffalo,New York,0.73,"1,595",20.31%,22.40%,27.02%,,,,,,,,,,,
51710006100,4,4,Norfolk,Virginia,1.23,"7,692",44.27%,18.07%,19.54%,,,,,,,,,,,
20209045200,4,4,Kansas City,Kansas,0.81,"3,321",8.79%,13.51%,23.34%,,,,,,,,,,,
6077000402,4,2,Stockton,California,0.56,"3,833",17.53%,29.80%,44.61%,,,,,,,,,,,
8041002200,4,1,Colorado Springs,Colorado,0.67,"2,673",9.17%,5.08%,17.21%,,,,,,,,,,,
10003000602,4,4,Wilmington,Delaware,0.24,"3,145",82.38%,30.90%,31.80%,,,,,,,,,,,
10003001600,4,4,Wilmington,Delaware,0.12,"2,646",64.25%,17.50%,32.12%,,,,,,,,,,,
