state,city_or_county,num_killed,num_incidents,num_killed_ranking,running_total_num_killed,running_total_percent_of_all_killed,running_total_num_incidents,running_total_percent_of_all_incidents
California,La Canada Flintridge (La Caí±ada Flintridge),2,1,858,9885,75.65%,8720,75.04%
California,Lake Elsinore,2,2,859,9887,75.66%,8722,75.05%
California,Lakewood,2,2,860,9889,75.68%,8724,75.07%
California,Lindsay,2,1,861,9891,75.69%,8725,75.08%
California,Los Angeles (Commerce),2,2,862,9893,75.71%,8727,75.10%
California,Los Angeles (county),2,2,863,9895,75.73%,8729,75.11%
California,Los Angeles (Hollywood),2,2,864,9897,75.74%,8731,75.13%
California,Los Banos,2,2,865,9899,75.76%,8733,75.15%
California,Manteca,2,2,866,9901,75.77%,8735,75.17%
California,Marysville,2,2,867,9903,75.79%,8737,75.18%
California,Mendota,2,2,868,9905,75.80%,8739,75.20%
California,Monrovia,2,1,869,9907,75.82%,8740,75.21%
California,Mountain View,2,1,870,9909,75.83%,8741,75.22%
California,Murphys,2,1,871,9911,75.85%,8742,75.23%
California,Novato,2,1,872,9913,75.86%,8743,75.23%
California,Orangevale,2,2,873,9915,75.88%,8745,75.25%
California,Oroville,2,2,874,9917,75.89%,8747,75.27%
California,Perris,2,2,875,9919,75.91%,8749,75.29%
California,Pinole,2,1,876,9921,75.92%,8750,75.29%
California,Placer (county),2,1,877,9923,75.94%,8751,75.30%
California,Rancho Cucamonga,2,2,878,9925,75.95%,8753,75.32%
California,Riverside (Jurupa Valley),2,2,879,9927,75.97%,8755,75.34%
California,Rosamond,2,2,880,9929,75.99%,8757,75.35%
California,Sacramento County,2,2,881,9931,76.00%,8759,75.37%
California,Santa Clara,2,2,882,9933,76.02%,8761,75.39%
California,Sarasota,2,1,883,9935,76.03%,8762,75.40%
California,Sunnyvale,2,2,884,9937,76.05%,8764,75.42%
California,Trabuco Canyon,2,1,885,9939,76.06%,8765,75.42%
California,Turlock,2,2,886,9941,76.08%,8767,75.44%
California,Valencia,2,1,887,9943,76.09%,8768,75.45%
California,Van Nuys (Lake Balboa),2,2,888,9945,76.11%,8770,75.47%
California,Venice,2,2,889,9947,76.12%,8772,75.48%
California,Walnut Creek,2,1,890,9949,76.14%,8773,75.49%
California,Wasco,2,2,891,9951,76.15%,8775,75.51%
California,West Covina,2,2,892,9953,76.17%,8777,75.53%
California,Yountville,2,1,893,9955,76.18%,8778,75.54%
Colorado,Boulder,2,2,894,9957,76.20%,8780,75.55%
Colorado,Broomfield,2,2,895,9959,76.21%,8782,75.57%
Colorado,Canon City,2,1,896,9961,76.23%,8783,75.58%
Colorado,Colorado Springs (Black Forest),2,2,897,9963,76.25%,8785,75.60%
Colorado,Evans,2,2,898,9965,76.26%,8787,75.61%
Colorado,Fruita,2,2,899,9967,76.28%,8789,75.63%
Colorado,Greeley,2,2,900,9969,76.29%,8791,75.65%
Colorado,Pueblo (county),2,1,901,9971,76.31%,8792,75.66%
Colorado,Rye,2,1,902,9973,76.32%,8793,75.66%
Connecticut,Brooklyn,2,1,903,9975,76.34%,8794,75.67%
Connecticut,Canaan (North Canaan),2,1,904,9977,76.35%,8795,75.68%
Connecticut,Durham,2,1,905,9979,76.37%,8796,75.69%
Connecticut,East Haven,2,1,906,9981,76.38%,8797,75.70%
Connecticut,Hamden,2,1,907,9983,76.40%,8798,75.71%
Connecticut,Killingworth,2,1,908,9985,76.41%,8799,75.72%
Connecticut,New London,2,2,909,9987,76.43%,8801,75.73%
Delaware,Claymont,2,2,910,9989,76.44%,8803,75.75%
Delaware,Milford,2,2,911,9991,76.46%,8805,75.77%
Delaware,Smyrna,2,2,912,9993,76.48%,8807,75.79%
Florida,Belle Glade,2,2,913,9995,76.49%,8809,75.80%
Florida,Cantonment,2,1,914,9997,76.51%,8810,75.81%
Florida,Christmas,2,1,915,9999,76.52%,8811,75.82%
Florida,Clermont,2,2,916,10001,76.54%,8813,75.84%
Florida,Dania (Dania Beach),2,2,917,10003,76.55%,8815,75.85%
Florida,De Leon Springs,2,1,918,10005,76.57%,8816,75.86%
Florida,Deleon Springs,2,1,919,10007,76.58%,8817,75.87%
Florida,Escambia (county),2,2,920,10009,76.60%,8819,75.89%
Florida,Eustis,2,2,921,10011,76.61%,8821,75.91%
Florida,Fort Lauderdale (Oakland Park),2,2,922,10013,76.63%,8823,75.92%
Florida,Fort Lauderdale (Sunrise),2,2,923,10015,76.64%,8825,75.94%
Florida,Fort Myers (San Carlos Park),2,1,924,10017,76.66%,8826,75.95%
Florida,Groveland,2,1,925,10019,76.67%,8827,75.96%
Florida,Haines City,2,1,926,10021,76.69%,8828,75.97%
Florida,Holiday,2,2,927,10023,76.70%,8830,75.98%
Florida,Kissimmee (Poinciana),2,2,928,10025,76.72%,8832,76.00%
Florida,Lake City,2,1,929,10027,76.74%,8833,76.01%
Florida,Madison,2,2,930,10029,76.75%,8835,76.03%
Florida,Manatee County,2,2,931,10031,76.77%,8837,76.04%
Florida,Miami (Westchester),2,1,932,10033,76.78%,8838,76.05%
Florida,Naples,2,2,933,10035,76.80%,8840,76.07%
Florida,North Miami,2,1,934,10037,76.81%,8841,76.08%
Florida,North Port,2,2,935,10039,76.83%,8843,76.10%
Florida,Opa Locka,2,2,936,10041,76.84%,8845,76.11%
Florida,Ormond Beach,2,1,937,10043,76.86%,8846,76.12%
Florida,Pahokee,2,2,938,10045,76.87%,8848,76.14%
Florida,Plant City,2,1,939,10047,76.89%,8849,76.15%
Florida,Polk (county),2,1,940,10049,76.90%,8850,76.16%
Florida,Ponce de Leon,2,1,941,10051,76.92%,8851,76.16%
Florida,Port Orange,2,2,942,10053,76.93%,8853,76.18%
Florida,Port Saint Lucie,2,2,943,10055,76.95%,8855,76.20%
Florida,Saint Johns (county),2,2,944,10057,76.96%,8857,76.22%
Florida,Shalimar,2,1,945,10059,76.98%,8858,76.22%
Florida,Tavernier,2,1,946,10061,77.00%,8859,76.23%
Florida,Thonotosassa,2,1,947,10063,77.01%,8860,76.24%
Florida,White Springs,2,2,948,10065,77.03%,8862,76.26%
Florida,Wimauma,2,2,949,10067,77.04%,8864,76.28%
Florida,Winter Haven,2,2,950,10069,77.06%,8866,76.29%
Georgia,Atlanta (Sandy Springs),2,2,951,10071,77.07%,8868,76.31%
Georgia,Bainbridge,2,2,952,10073,77.09%,8870,76.33%
Georgia,Baldwin,2,1,953,10075,77.10%,8871,76.34%
Georgia,Blairsville,2,1,954,10077,77.12%,8872,76.34%
Georgia,Cairo,2,1,955,10079,77.13%,8873,76.35%
Georgia,Colbert,2,1,956,10081,77.15%,8874,76.36%
Georgia,Crawford (county),2,1,957,10083,77.16%,8875,76.37%
Georgia,Dacula,2,2,958,10085,77.18%,8877,76.39%
Georgia,Dallas,2,2,959,10087,77.19%,8879,76.40%
Georgia,Dalton,2,2,960,10089,77.21%,8881,76.42%
Georgia,Dearing,2,2,961,10091,77.23%,8883,76.44%
Georgia,Dekalb County,2,2,962,10093,77.24%,8885,76.46%
Georgia,Euharlee,2,1,963,10095,77.26%,8886,76.47%
Georgia,Fayetteville,2,2,964,10097,77.27%,8888,76.48%
Georgia,Folkston,2,2,965,10099,77.29%,8890,76.50%
Georgia,Forest Park,2,2,966,10101,77.30%,8892,76.52%
Georgia,Fulton County,2,2,967,10103,77.32%,8894,76.53%
Georgia,Gainesville,2,2,968,10105,77.33%,8896,76.55%
Georgia,Greenville,2,2,969,10107,77.35%,8898,76.57%
Georgia,Grovetown,2,1,970,10109,77.36%,8899,76.58%
Georgia,Lilburn,2,2,971,10111,77.38%,8901,76.59%
Georgia,Lumpkin County,2,1,972,10113,77.39%,8902,76.60%
Georgia,Mableton,2,2,973,10115,77.41%,8904,76.62%
Georgia,Maysville,2,1,974,10117,77.42%,8905,76.63%
Georgia,Morrow,2,2,975,10119,77.44%,8907,76.65%
Georgia,Mount Airy,2,1,976,10121,77.45%,8908,76.65%
Georgia,Norman Park,2,2,977,10123,77.47%,8910,76.67%
Georgia,Oxford,2,1,978,10125,77.49%,8911,76.68%
Georgia,Rossville,2,2,979,10127,77.50%,8913,76.70%
Georgia,Sylvania,2,2,980,10129,77.52%,8915,76.71%
Georgia,Telfair County,2,1,981,10131,77.53%,8916,76.72%
Georgia,Thomson,2,2,982,10133,77.55%,8918,76.74%
Georgia,Tucker,2,2,983,10135,77.56%,8920,76.76%
Georgia,Tybee Island,2,1,984,10137,77.58%,8921,76.77%
Georgia,Warner Robins,2,2,985,10139,77.59%,8923,76.78%
Georgia,Warrenton,2,1,986,10141,77.61%,8924,76.79%
Georgia,Waynesboro,2,2,987,10143,77.62%,8926,76.81%
Georgia,Willacoochee,2,1,988,10145,77.64%,8927,76.82%
Georgia,Winder,2,2,989,10147,77.65%,8929,76.84%
Hawaii,Hilo,2,2,990,10149,77.67%,8931,76.85%
Illinois,Avon,2,1,991,10151,77.68%,8932,76.86%
Illinois,Bay View Gardens,2,1,992,10153,77.70%,8933,76.87%
Illinois,Bolingbrook,2,1,993,10155,77.71%,8934,76.88%
Illinois,Columbia,2,1,994,10157,77.73%,8935,76.89%
Illinois,Danforth,2,1,995,10159,77.75%,8936,76.90%
Illinois,Fairview Heights,2,2,996,10161,77.76%,8938,76.91%
Illinois,Kankakee,2,2,997,10163,77.78%,8940,76.93%
Illinois,Melrose Park,2,2,998,10165,77.79%,8942,76.95%
Illinois,Pekin,2,1,999,10167,77.81%,8943,76.96%
Illinois,River Forest,2,1,"1,000",10169,77.82%,8944,76.96%
Illinois,Rock Island,2,2,"1,001",10171,77.84%,8946,76.98%
Illinois,Taylorville,2,1,"1,002",10173,77.85%,8947,76.99%
Illinois,University Park,2,1,"1,003",10175,77.87%,8948,77.00%
Illinois,Villa Park,2,1,"1,004",10177,77.88%,8949,77.01%
Illinois,West Frankfort,2,1,"1,005",10179,77.90%,8950,77.02%
Indiana,Anderson,2,2,"1,006",10181,77.91%,8952,77.03%
Indiana,Anderson (River Forest),2,1,"1,007",10183,77.93%,8953,77.04%
Indiana,Columbus,2,1,"1,008",10185,77.94%,8954,77.05%
Indiana,Greenwood,2,2,"1,009",10187,77.96%,8956,77.07%
Indiana,Hartford City,2,1,"1,010",10189,77.98%,8957,77.08%
Indiana,Hobart,2,1,"1,011",10191,77.99%,8958,77.08%
Indiana,Kokomo,2,2,"1,012",10193,78.01%,8960,77.10%
Indiana,Laconia,2,1,"1,013",10195,78.02%,8961,77.11%
Indiana,Marion,2,2,"1,014",10197,78.04%,8963,77.13%
Indiana,Martin (county),2,1,"1,015",10199,78.05%,8964,77.14%
Indiana,Merrillville,2,1,"1,016",10201,78.07%,8965,77.14%
Indiana,Mishawaka,2,2,"1,017",10203,78.08%,8967,77.16%
Indiana,Muncie,2,2,"1,018",10205,78.10%,8969,77.18%
Indiana,Munster,2,1,"1,019",10207,78.11%,8970,77.19%
Indiana,New London,2,1,"1,020",10209,78.13%,8971,77.20%
Indiana,Parker City,2,1,"1,021",10211,78.14%,8972,77.21%
Indiana,St. Joseph (county),2,1,"1,022",10213,78.16%,8973,77.21%
Indiana,Syracuse,2,1,"1,023",10215,78.17%,8974,77.22%
Indiana,Valparaiso,2,1,"1,024",10217,78.19%,8975,77.23%
Iowa,Clarke County,2,1,"1,025",10219,78.20%,8976,77.24%
Iowa,Council Bluffs,2,2,"1,026",10221,78.22%,8978,77.26%
Iowa,Dubuque,2,2,"1,027",10223,78.24%,8980,77.27%
Kansas,Bucyrus,2,1,"1,028",10225,78.25%,8981,77.28%
Kansas,Great Bend,2,2,"1,029",10227,78.27%,8983,77.30%
Kansas,Hutchinson,2,2,"1,030",10229,78.28%,8985,77.32%
Kansas,Junction City,2,2,"1,031",10231,78.30%,8987,77.33%
Kansas,Parsons,2,2,"1,032",10233,78.31%,8989,77.35%
Kansas,Winfield,2,2,"1,033",10235,78.33%,8991,77.37%
Kentucky,Chavies,2,2,"1,034",10237,78.34%,8993,77.39%
Kentucky,Clay (county),2,2,"1,035",10239,78.36%,8995,77.40%
Kentucky,Covington,2,2,"1,036",10241,78.37%,8997,77.42%
Kentucky,Edmonton,2,1,"1,037",10243,78.39%,8998,77.43%
Kentucky,Eubank,2,2,"1,038",10245,78.40%,9000,77.45%
Kentucky,Georgetown,2,1,"1,039",10247,78.42%,9001,77.45%
Kentucky,Hardin County,2,1,"1,040",10249,78.43%,9002,77.46%
Kentucky,Hopkinsville,2,2,"1,041",10251,78.45%,9004,77.48%
Kentucky,Lily,2,1,"1,042",10253,78.46%,9005,77.49%
Kentucky,Lyon (county),2,1,"1,043",10255,78.48%,9006,77.50%
Kentucky,Manchester,2,1,"1,044",10257,78.50%,9007,77.51%
Kentucky,Mccreary County,2,1,"1,045",10259,78.51%,9008,77.51%
Kentucky,Mount Eden,2,1,"1,046",10261,78.53%,9009,77.52%
Kentucky,Pineville,2,2,"1,047",10263,78.54%,9011,77.54%
Kentucky,Princeton,2,2,"1,048",10265,78.56%,9013,77.56%
Kentucky,Vine Grove,2,1,"1,049",10267,78.57%,9014,77.57%
Kentucky,Winchester,2,1,"1,050",10269,78.59%,9015,77.58%
Louisiana,Calhoun,2,1,"1,051",10271,78.60%,9016,77.58%
Louisiana,Eunice,2,2,"1,052",10273,78.62%,9018,77.60%
Louisiana,Gibson,2,2,"1,053",10275,78.63%,9020,77.62%
Louisiana,Gonzales,2,1,"1,054",10277,78.65%,9021,77.63%
Louisiana,Greensburg,2,2,"1,055",10279,78.66%,9023,77.64%
Louisiana,Gretna,2,2,"1,056",10281,78.68%,9025,77.66%
Louisiana,Jennings,2,2,"1,057",10283,78.69%,9027,77.68%
Louisiana,Kaplan,2,1,"1,058",10285,78.71%,9028,77.69%
Louisiana,Labadievile,2,1,"1,059",10287,78.73%,9029,77.70%
Louisiana,Labadieville,2,2,"1,060",10289,78.74%,9031,77.71%
Louisiana,Natchitoches,2,2,"1,061",10291,78.76%,9033,77.73%
Louisiana,Saint Landry,2,2,"1,062",10293,78.77%,9035,77.75%
Louisiana,St. Gabriel,2,1,"1,063",10295,78.79%,9036,77.76%
Louisiana,Urania,2,1,"1,064",10297,78.80%,9037,77.76%
Maine,Bangor,2,2,"1,065",10299,78.82%,9039,77.78%
Maine,Fryeburg,2,1,"1,066",10301,78.83%,9040,77.79%
Maine,Lee,2,1,"1,067",10303,78.85%,9041,77.80%
Maine,Manchester,2,1,"1,068",10305,78.86%,9042,77.81%
Maryland,Aberdeen,2,2,"1,069",10307,78.88%,9044,77.82%
Maryland,Annapolis,2,2,"1,070",10309,78.89%,9046,77.84%
Maryland,District Heights (Forestville),2,2,"1,071",10311,78.91%,9048,77.86%
Maryland,Dundalk,2,2,"1,072",10313,78.92%,9050,77.88%
Maryland,Essex,2,2,"1,073",10315,78.94%,9052,77.89%
Maryland,Fort Washington,2,2,"1,074",10317,78.95%,9054,77.91%
Maryland,Frederick,2,2,"1,075",10319,78.97%,9056,77.93%
Maryland,Glen Burnie,2,2,"1,076",10321,78.99%,9058,77.95%
Maryland,Glenarden,2,2,"1,077",10323,79.00%,9060,77.96%
Maryland,Glenn Dale,2,2,"1,078",10325,79.02%,9062,77.98%
Maryland,Halethorpe,2,2,"1,079",10327,79.03%,9064,78.00%
Maryland,Hyattsville,2,2,"1,080",10329,79.05%,9066,78.01%
Maryland,Hyattsville (Landover),2,2,"1,081",10331,79.06%,9068,78.03%
Maryland,Laurel,2,2,"1,082",10333,79.08%,9070,78.05%
Maryland,Lothian,2,1,"1,083",10335,79.09%,9071,78.06%
Maryland,Lutherville Timonium (Lutherville),2,1,"1,084",10337,79.11%,9072,78.07%
Maryland,Mechanicsville,2,2,"1,085",10339,79.12%,9074,78.08%
Maryland,Montgomery Village,2,2,"1,086",10341,79.14%,9076,78.10%
Maryland,North East,2,2,"1,087",10343,79.15%,9078,78.12%
Maryland,Riverdale,2,2,"1,088",10345,79.17%,9080,78.13%
Maryland,Seat Pleasant,2,2,"1,089",10347,79.18%,9082,78.15%
Maryland,Sparrows Point (Edgemere),2,1,"1,090",10349,79.20%,9083,78.16%
Maryland,Union Bridge,2,1,"1,091",10351,79.21%,9084,78.17%
Massachusetts,Everett,2,2,"1,092",10353,79.23%,9086,78.19%
Massachusetts,Fall River,2,2,"1,093",10355,79.25%,9088,78.20%
Massachusetts,Framingham,2,1,"1,094",10357,79.26%,9089,78.21%
Massachusetts,Milford,2,2,"1,095",10359,79.28%,9091,78.23%
Massachusetts,Pittsfield,2,2,"1,096",10361,79.29%,9093,78.25%
Massachusetts,Tewksbury,2,2,"1,097",10363,79.31%,9095,78.26%
Michigan,Dearborn Heights,2,2,"1,098",10365,79.32%,9097,78.28%
Michigan,Hayes Township,2,1,"1,099",10367,79.34%,9098,78.29%
Michigan,Ionia Township,2,1,"1,100",10369,79.35%,9099,78.30%
Michigan,Lenox Township,2,1,"1,101",10371,79.37%,9100,78.31%
Michigan,Macomb Township,2,2,"1,102",10373,79.38%,9102,78.32%
Michigan,Melvindale,2,1,"1,103",10375,79.40%,9103,78.33%
Michigan,Mount Morris,2,2,"1,104",10377,79.41%,9105,78.35%
Michigan,Novi,2,1,"1,105",10379,79.43%,9106,78.36%
Michigan,Portage,2,2,"1,106",10381,79.44%,9108,78.38%
Michigan,Pulawski Township,2,1,"1,107",10383,79.46%,9109,78.38%
Michigan,Saginaw Township,2,2,"1,108",10385,79.48%,9111,78.40%
Minnesota,Balaton,2,1,"1,109",10387,79.49%,9112,78.41%
Minnesota,Brandon,2,1,"1,110",10389,79.51%,9113,78.42%
Minnesota,Madison,2,1,"1,111",10391,79.52%,9114,78.43%
Minnesota,Minneapolis (Coon Rapids),2,2,"1,112",10393,79.54%,9116,78.44%
Minnesota,Norwood Young America,2,1,"1,113",10395,79.55%,9117,78.45%
Minnesota,Onigum,2,1,"1,114",10397,79.57%,9118,78.46%
Minnesota,Rochester,2,2,"1,115",10399,79.58%,9120,78.48%
Minnesota,Saint Cloud,2,2,"1,116",10401,79.60%,9122,78.50%
Minnesota,Saint Michael,2,1,"1,117",10403,79.61%,9123,78.50%
Mississippi,Adams (county),2,2,"1,118",10405,79.63%,9125,78.52%
Mississippi,Calhoun (county),2,2,"1,119",10407,79.64%,9127,78.54%
Mississippi,Canton,2,2,"1,120",10409,79.66%,9129,78.56%
Mississippi,Columbia,2,1,"1,121",10411,79.67%,9130,78.56%
Mississippi,Como,2,1,"1,122",10413,79.69%,9131,78.57%
Mississippi,Corinth,2,1,"1,123",10415,79.70%,9132,78.58%
Mississippi,Grenada,2,2,"1,124",10417,79.72%,9134,78.60%
Mississippi,Holmes (county),2,2,"1,125",10419,79.74%,9136,78.62%
Mississippi,Jackson (county),2,1,"1,126",10421,79.75%,9137,78.62%
Mississippi,Marion (county),2,2,"1,127",10423,79.77%,9139,78.64%
Mississippi,Mccomb,2,2,"1,128",10425,79.78%,9141,78.66%
Mississippi,Neshoba County,2,1,"1,129",10427,79.80%,9142,78.67%
Mississippi,Pascagoula,2,1,"1,130",10429,79.81%,9143,78.68%
Mississippi,Pike County,2,2,"1,131",10431,79.83%,9145,78.69%
Mississippi,Rankin (county),2,1,"1,132",10433,79.84%,9146,78.70%
Missouri,Ballwin (Wildwood),2,1,"1,133",10435,79.86%,9147,78.71%
Missouri,Barry County,2,1,"1,134",10437,79.87%,9148,78.72%
Missouri,Boone (county),2,1,"1,135",10439,79.89%,9149,78.73%
Missouri,Buchanan (county),2,1,"1,136",10441,79.90%,9150,78.74%
Missouri,Clinton,2,1,"1,137",10443,79.92%,9151,78.75%
Missouri,Douglas (county),2,1,"1,138",10445,79.93%,9152,78.75%
Missouri,Eureka,2,1,"1,139",10447,79.95%,9153,78.76%
Missouri,Florissant,2,2,"1,140",10449,79.96%,9155,78.78%
Missouri,Jefferson (county),2,1,"1,141",10451,79.98%,9156,78.79%
Missouri,Jefferson City,2,2,"1,142",10453,80.00%,9158,78.81%
Missouri,Jennings,2,2,"1,143",10455,80.01%,9160,78.82%
Missouri,Mcdonald (county),2,2,"1,144",10457,80.03%,9162,78.84%
Missouri,Poplar Bluff,2,2,"1,145",10459,80.04%,9164,78.86%
Missouri,Saint Louis (Pagedale),2,2,"1,146",10461,80.06%,9166,78.87%
Missouri,Saint Louis County,2,2,"1,147",10463,80.07%,9168,78.89%
Missouri,University City,2,2,"1,148",10465,80.09%,9170,78.91%
Missouri,Willard,2,1,"1,149",10467,80.10%,9171,78.92%
Montana,Pryor,2,1,"1,150",10469,80.12%,9172,78.93%
Nebraska,Ogallala,2,1,"1,151",10471,80.13%,9173,78.93%
Nevada,Carson City,2,1,"1,152",10473,80.15%,9174,78.94%
Nevada,Fallon,2,1,"1,153",10475,80.16%,9175,78.95%
Nevada,Gardnerville,2,2,"1,154",10477,80.18%,9177,78.97%
Nevada,Sun Valley,2,2,"1,155",10479,80.19%,9179,78.99%
New Hampshire,Exeter,2,1,"1,156",10481,80.21%,9180,78.99%
New Hampshire,Merrimack,2,2,"1,157",10483,80.22%,9182,79.01%
New Hampshire,Portsmouth,2,2,"1,158",10485,80.24%,9184,79.03%
New Jersey,Absecon,2,1,"1,159",10487,80.26%,9185,79.04%
New Jersey,Dayton (South Brunswick),2,2,"1,160",10489,80.27%,9187,79.06%
New Jersey,Deptford,2,1,"1,161",10491,80.29%,9188,79.06%
New Jersey,Hackensack,2,2,"1,162",10493,80.30%,9190,79.08%
New Jersey,Nutley,2,1,"1,163",10495,80.32%,9191,79.09%
New Jersey,Rahway,2,2,"1,164",10497,80.33%,9193,79.11%
New Jersey,Randolph,2,2,"1,165",10499,80.35%,9195,79.12%
New Jersey,Vineland,2,1,"1,166",10501,80.36%,9196,79.13%
New Jersey,Voorhees,2,1,"1,167",10503,80.38%,9197,79.14%
New Jersey,Willingboro,2,2,"1,168",10505,80.39%,9199,79.16%
New Mexico,Artesia,2,2,"1,169",10507,80.41%,9201,79.18%
New Mexico,Belen,2,1,"1,170",10509,80.42%,9202,79.18%
New Mexico,Cleveland,2,1,"1,171",10511,80.44%,9203,79.19%
New Mexico,Shiprock,2,1,"1,172",10513,80.45%,9204,79.20%
New Mexico,Silver City,2,1,"1,173",10515,80.47%,9205,79.21%
New Mexico,Truth Or Consequences,2,2,"1,174",10517,80.49%,9207,79.23%
New Mexico,Valencia (county),2,2,"1,175",10519,80.50%,9209,79.24%
New York,Bolton,2,1,"1,176",10521,80.52%,9210,79.25%
New York,Buffalo (Amherst),2,1,"1,177",10523,80.53%,9211,79.26%
New York,Cicero,2,1,"1,178",10525,80.55%,9212,79.27%
New York,Gates,2,2,"1,179",10527,80.56%,9214,79.29%
New York,Goshen,2,1,"1,180",10529,80.58%,9215,79.30%
New York,Niagara Falls,2,2,"1,181",10531,80.59%,9217,79.31%
New York,North Tonawanda,2,1,"1,182",10533,80.61%,9218,79.32%
New York,Oneonta,2,1,"1,183",10535,80.62%,9219,79.33%
New York,Poughkeepsie,2,2,"1,184",10537,80.64%,9221,79.35%
New York,Sloatsburg,2,1,"1,185",10539,80.65%,9222,79.36%
New York,Strykersville (Sheldon),2,1,"1,186",10541,80.67%,9223,79.36%
New York,Valley Stream,2,2,"1,187",10543,80.68%,9225,79.38%
North Carolina,Alamance (county),2,1,"1,188",10545,80.70%,9226,79.39%
North Carolina,Albemarle,2,2,"1,189",10547,80.71%,9228,79.41%
North Carolina,Cherryville,2,1,"1,190",10549,80.73%,9229,79.42%
North Carolina,China Grove,2,1,"1,191",10551,80.75%,9230,79.43%
North Carolina,Cumberland (county),2,2,"1,192",10553,80.76%,9232,79.44%
North Carolina,Dobson,2,1,"1,193",10555,80.78%,9233,79.45%
North Carolina,Dudley,2,2,"1,194",10557,80.79%,9235,79.47%
North Carolina,Dunn,2,2,"1,195",10559,80.81%,9237,79.49%
North Carolina,Elizabeth City,2,2,"1,196",10561,80.82%,9239,79.50%
North Carolina,Lewisville,2,1,"1,197",10563,80.84%,9240,79.51%
North Carolina,Maxton,2,2,"1,198",10565,80.85%,9242,79.53%
North Carolina,Monkey Junction,2,1,"1,199",10567,80.87%,9243,79.54%
North Carolina,Onslow (county),2,2,"1,200",10569,80.88%,9245,79.55%
North Carolina,Oriental,2,1,"1,201",10571,80.90%,9246,79.56%
North Carolina,Ridgeway,2,1,"1,202",10573,80.91%,9247,79.57%
North Carolina,Rutherford (county),2,2,"1,203",10575,80.93%,9249,79.59%
North Carolina,Sanford,2,2,"1,204",10577,80.94%,9251,79.61%
North Carolina,Wallace,2,2,"1,205",10579,80.96%,9253,79.62%
North Carolina,Winston Salem (Winston-salem),2,2,"1,206",10581,80.97%,9255,79.64%
North Carolina,Yanceyville,2,1,"1,207",10583,80.99%,9256,79.65%
North Dakota,Bottineau (county),2,1,"1,208",10585,81.01%,9257,79.66%
North Dakota,Dickinson,2,1,"1,209",10587,81.02%,9258,79.67%
North Dakota,Grand Forks,2,1,"1,210",10589,81.04%,9259,79.67%
North Dakota,Wells (county),2,1,"1,211",10591,81.05%,9260,79.68%
North Dakota,West Fargo,2,1,"1,212",10593,81.07%,9261,79.69%
Ohio,Cincinnati (Lincoln Heights),2,2,"1,213",10595,81.08%,9263,79.71%
Ohio,Cincinnati (Roselawn),2,2,"1,214",10597,81.10%,9265,79.73%
Ohio,Clyde,2,2,"1,215",10599,81.11%,9267,79.74%
Ohio,Dundee,2,1,"1,216",10601,81.13%,9268,79.75%
Ohio,East Cleveland,2,2,"1,217",10603,81.14%,9270,79.77%
Ohio,Galena,2,1,"1,218",10605,81.16%,9271,79.78%
Ohio,Glencoe,2,1,"1,219",10607,81.17%,9272,79.79%
Ohio,Harrison,2,2,"1,220",10609,81.19%,9274,79.80%
Ohio,Harrison Township,2,2,"1,221",10611,81.20%,9276,79.82%
Ohio,Highland (county),2,1,"1,222",10613,81.22%,9277,79.83%
Ohio,Lakewood,2,2,"1,223",10615,81.24%,9279,79.85%
Ohio,Licking (county),2,1,"1,224",10617,81.25%,9280,79.86%
Ohio,Marion,2,2,"1,225",10619,81.27%,9282,79.87%
Ohio,Massillon,2,2,"1,226",10621,81.28%,9284,79.89%
Ohio,Mount Vernon,2,1,"1,227",10623,81.30%,9285,79.90%
Ohio,New Franklin,2,1,"1,228",10625,81.31%,9286,79.91%
Ohio,Oxford,2,1,"1,229",10627,81.33%,9287,79.92%
Ohio,Sardinia,2,1,"1,230",10629,81.34%,9288,79.92%
Ohio,Shelby,2,1,"1,231",10631,81.36%,9289,79.93%
Ohio,Strasburg,2,1,"1,232",10633,81.37%,9290,79.94%
Ohio,Twinsburg,2,1,"1,233",10635,81.39%,9291,79.95%
Ohio,West Chester,2,2,"1,234",10637,81.40%,9293,79.97%
Ohio,Zanesville,2,2,"1,235",10639,81.42%,9295,79.98%
Oklahoma,Ada,2,2,"1,236",10641,81.43%,9297,80.00%
Oklahoma,Bartlesville,2,2,"1,237",10643,81.45%,9299,80.02%
Oklahoma,Gracemont,2,1,"1,238",10645,81.46%,9300,80.03%
Oklahoma,Guthrie,2,2,"1,239",10647,81.48%,9302,80.04%
Oklahoma,Seminole,2,1,"1,240",10649,81.50%,9303,80.05%
Oregon,Beaverton (Aloha),2,2,"1,241",10651,81.51%,9305,80.07%
Oregon,Canyonville,2,2,"1,242",10653,81.53%,9307,80.09%
Oregon,Clackamas,2,1,"1,243",10655,81.54%,9308,80.10%
Oregon,Cottage Grove,2,2,"1,244",10657,81.56%,9310,80.11%
Oregon,Florence,2,1,"1,245",10659,81.57%,9311,80.12%
Oregon,Klamath Falls,2,2,"1,246",10661,81.59%,9313,80.14%
Oregon,Springfield,2,1,"1,247",10663,81.60%,9314,80.15%
Pennsylvania,Bentleyville,2,1,"1,248",10665,81.62%,9315,80.16%
Pennsylvania,Burgettstown,2,1,"1,249",10667,81.63%,9316,80.17%
Pennsylvania,Carroll Township,2,1,"1,250",10669,81.65%,9317,80.17%
